Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,1.1168523792331218,1.1168523792331218,-0.07680879406585313,0.05965765775828022,-0.07680879406585239,0.05965765775828302,85.02228515715865,113.00536939130508,98.02765454846373,427.6378469467163
2_Day_Return,1.6206797876841645,1.6206797876841645,0.046330016055172105,-0.06421555707292104,0.023162325560943664,-0.03211293473934784,104.4708465493241,93.0326120575882,97.50345860691229,426.64942264556885
3_Day_Return,1.9870693025161037,1.9870693025161037,0.08619793612838926,-0.11519661385327909,0.02872439367820334,-0.03841362546118665,105.9189249474827,92.28182687183038,98.20075181931307,428.6042284965515
4_Day_Return,2.503257864340782,2.503257864340782,0.06328353616273598,-0.07973447019472531,0.015817130920492417,-0.019939580559047432,103.03760973581137,95.77407307967954,98.81168281549091,425.92265820503235
5_Day_Return,3.019578833392079,3.019578833392079,-0.01714992455210295,0.011746337501051411,-0.003430220230560277,0.002349157126824153,99.31743300282629,100.47455203504246,99.79198503786877,428.7107195854187
6_Day_Return,3.1479194495728784,3.1479194495728784,-0.010099697217407635,0.031065831221453497,-0.001683353709969193,0.005176968465603338,99.68185953765176,101.08212645421399,100.76398599186574,428.0968129634857
7_Day_Return,3.198756180260883,3.198756180260883,-0.16988521190351286,0.1807498122283437,-0.02428700458275701,0.025801421755566878,95.53444585853624,105.44831576859725,100.98276162713347,424.5915722846985
8_Day_Return,4.25941257210247,4.25941257210247,-0.26755305479401714,0.26414034793967905,-0.033483345287121935,0.0329794508269865,93.87972387158679,106.90066658992417,100.78039046151095,423.50963950157166
9_Day_Return,5.275018559467118,5.275018559467118,-0.4317312465295588,0.3639532467460175,-0.04806243486124018,0.04037398582745766,91.17349451539569,108.29004617588154,99.46354069127723,417.9117383956909
10_Day_Return,5.861539132138599,5.861539132138599,-0.4522978758142119,0.35722797683056917,-0.045322110170109564,0.03566550194673557,91.76817866018138,107.2874507273436,99.05562938752497,417.30951738357544
